,date,year,month,hour,bikes_used,bike_used,year_month
320,2020-05-14T08:00:00,2020,5,08,0,173.0,2020-5
321,2020-05-14T09:00:00,2020,5,09,0,154.0,2020-5
322,2020-05-14T10:00:00,2020,5,10,0,164.0,2020-5
323,2020-05-14T11:00:00,2020,5,11,0,207.0,2020-5
324,2020-05-14T12:00:00,2020,5,12,0,259.0,2020-5
325,2020-05-14T13:00:00,2020,5,13,0,294.0,2020-5
326,2020-05-14T14:00:00,2020,5,14,0,290.0,2020-5
327,2020-05-14T15:00:00,2020,5,15,0,259.0,2020-5
328,2020-05-14T16:00:00,2020,5,16,0,367.0,2020-5
329,2020-05-14T17:00:00,2020,5,17,0,537.0,2020-5
330,2020-05-14T18:00:00,2020,5,18,0,591.0,2020-5
331,2020-05-14T19:00:00,2020,5,19,0,459.0,2020-5
332,2020-05-14T20:00:00,2020,5,20,0,229.0,2020-5
333,2020-05-14T21:00:00,2020,5,21,0,120.0,2020-5
334,2020-05-14T22:00:00,2020,5,22,0,76.0,2020-5
335,2020-05-14T23:00:00,2020,5,23,0,66.0,2020-5
336,2020-05-15T00:00:00,2020,5,00,0,51.0,2020-5
337,2020-05-15T01:00:00,2020,5,01,0,50.0,2020-5
338,2020-05-15T02:00:00,2020,5,02,0,49.0,2020-5
339,2020-05-15T03:00:00,2020,5,03,0,41.0,2020-5
340,2020-05-15T04:00:00,2020,5,04,0,43.0,2020-5
341,2020-05-15T05:00:00,2020,5,05,0,61.0,2020-5
342,2020-05-15T06:00:00,2020,5,06,0,113.0,2020-5
343,2020-05-15T07:00:00,2020,5,07,0,152.0,2020-5
344,2020-05-15T08:00:00,2020,5,08,0,198.0,2020-5
345,2020-05-15T09:00:00,2020,5,09,0,183.0,2020-5
346,2020-05-15T10:00:00,2020,5,10,0,217.0,2020-5
347,2020-05-15T11:00:00,2020,5,11,0,271.0,2020-5
348,2020-05-15T12:00:00,2020,5,12,0,344.0,2020-5
349,2020-05-15T13:00:00,2020,5,13,0,412.0,2020-5
350,2020-05-15T14:00:00,2020,5,14,0,478.0,2020-5
351,2020-05-15T15:00:00,2020,5,15,0,574.0,2020-5
352,2020-05-15T16:00:00,2020,5,16,0,679.0,2020-5
353,2020-05-15T17:00:00,2020,5,17,0,850.0,2020-5
354,2020-05-15T18:00:00,2020,5,18,0,829.0,2020-5
355,2020-05-15T19:00:00,2020,5,19,0,720.0,2020-5
356,2020-05-15T20:00:00,2020,5,20,0,505.0,2020-5
357,2020-05-15T21:00:00,2020,5,21,0,276.0,2020-5
358,2020-05-15T22:00:00,2020,5,22,0,191.0,2020-5
359,2020-05-15T23:00:00,2020,5,23,0,172.0,2020-5
360,2020-05-16T00:00:00,2020,5,00,0,132.0,2020-5
361,2020-05-16T01:00:00,2020,5,01,0,101.0,2020-5
362,2020-05-16T02:00:00,2020,5,02,0,97.0,2020-5
363,2020-05-16T03:00:00,2020,5,03,0,88.0,2020-5
364,2020-05-16T04:00:00,2020,5,04,0,75.0,2020-5
365,2020-05-16T05:00:00,2020,5,05,0,85.0,2020-5
366,2020-05-16T06:00:00,2020,5,06,0,125.0,2020-5
367,2020-05-16T07:00:00,2020,5,07,0,143.0,2020-5
368,2020-05-16T08:00:00,2020,5,08,0,235.0,2020-5
369,2020-05-16T09:00:00,2020,5,09,0,349.0,2020-5
370,2020-05-16T10:00:00,2020,5,10,0,508.0,2020-5
371,2020-05-16T11:00:00,2020,5,11,0,671.0,2020-5
372,2020-05-16T12:00:00,2020,5,12,0,822.0,2020-5
373,2020-05-16T13:00:00,2020,5,13,0,1009.0,2020-5
374,2020-05-16T14:00:00,2020,5,14,0,1154.0,2020-5
375,2020-05-16T15:00:00,2020,5,15,0,1224.0,2020-5
376,2020-05-16T16:00:00,2020,5,16,0,1171.0,2020-5
